concept_sportsteam_arizona_diamond_backs	Arizona Diamond Backs
concept_recordlabel_ecm	Ecm
concept_actor_manfred_eicher	Manfred Eicher
concept_roadaccidentevent_authorities	Authorities
concept_sportsteam_central_washington_wildcats	Central Washington Wildcats
concept_book_coming_of_age_in_samoa	Coming Of Age In Samoa
concept_female_margaret_mead	Margaret Mead
concept_city_cuttack	Cuttack
concept_televisionshow_saturdays	Saturdays
-19.6666700000000,121.4166700000000	-19.6666700000000,121.4166700000000
concept_river_tajo	Tajo
concept_visualizablescene_long_branch	Long Branch
concept_politicianus_lynn_rivers	Lynn Rivers
concept_person_dee_hock	Dee Hock
concept_stateorprovince_visa	Visa
concept_geopoliticallocation_silicon_valley	Silicon Valley
concept_musician_randy_rhoads	Randy Rhoads
concept_city_example	Example
concept_person_smith001	Smith001
concept_model_jada_pinkett_smith	Jada Pinkett Smith
concept_person_uncle_barry	Uncle Barry
concept_city_gulfport	Gulfport
concept_athlete_martin_brodeur	Martin Brodeur
concept_disease_type_2_diabetes_mellitus	Type 2 Diabetes Mellitus
concept_personnorthamerica_silvio_berlusconi	Silvio Berlusconi
concept_organization_italian	Italian
concept_writer_alan_moore_and_dave_gibbons	Alan Moore And Dave Gibbons
concept_academicfield_technology_studies	Technology Studies
concept_drug_magnesium	Magnesium
concept_visualartist_m__c__escher	M C Escher
concept_visualizableobject_discovery	Discovery
concept_book_the_great_hunt	The Great Hunt
concept_scientist_quark	Quark
concept_blog_vanity_fair	Vanity Fair
concept_profession_community_nurses	Community Nurses
concept_geometricshape_sum	Sum
concept_coach_turner_gill	Turner Gill
concept_book_a_civil_campaign	A Civil Campaign
concept_hotel_sheraton_chicago	Sheraton Chicago
concept_plant_mesquite	Mesquite
concept_coach_bobby_jackson	Bobby Jackson
concept_televisionstation_kjud	Kjud
concept_newspaper_the_hill	The Hill
concept_personus_use_glossary	Use Glossary
concept_aquarium_keys_aquarium	Keys Aquarium
concept_ceo_august_a__busch_iv	August A Busch Iv
concept_landscapefeatures_favorite_place	Favorite Place
concept_furniture_leather_sofas	Leather Sofas
concept_journalist_finish	Finish
concept_musician_haydn	Haydn
concept_lake_black_sea	Black Sea
concept_televisionstation_kbtx_tv	Kbtx TV
concept_country_cape_verde	Cape Verde
concept_stadiumoreventvenue_mts_centre_manitoba	Mts Centre Manitoba
concept_city_north_shields	North Shields
concept_hotel_sun	Sun
concept_hotel_taj_holiday_village	Taj Holiday Village
15.5034000000000,73.7616000000000	15.5034000000000,73.7616000000000
concept_food_sliced_tomatoes	Sliced Tomatoes
concept_weapon_introduction	Introduction
concept_newspaper_centralia	Centralia
concept_river_sabarmati	Sabarmati
concept_sportsteam_cent__connecticut_st__blue_devils	Cent Connecticut St Blue Devils
concept_transportation_tickets	Tickets
concept_musician_dave_murray	Dave Murray
concept_athlete_matt_wieters	Matt Wieters
concept_mammal_lambs	Lambs
concept_website_download_acrobat_reader	Download Acrobat Reader
concept_mammal_swine	Swine
concept_personcanada_preity_zinta	Preity Zinta
concept_person_ness_wadia	Ness Wadia
concept_coach_kip_wells	Kip Wells
concept_muscle_health	Health
concept_director_nothing	Nothing
concept_museum_heard_museum	Heard Museum
concept_sportsteam_big_east_gear	Big East Gear
concept_attraction_helena_area	Helena Area
46.6171500000000,-112.0249800000000	46.6171500000000,-112.0249800000000
concept_politician_prime_minister_tony_blair	Prime Minister Tony Blair
concept_stadiumoreventvenue_victoria_home	Victoria Home
concept_county_vandercook_college	Vandercook College
41.8372600000000,-87.6228300000000	41.8372600000000,-87.6228300000000
concept_mediatype_restructuring	Restructuring
concept_athlete_randy_wells	Randy Wells
concept_movie_die_hard	Die Hard
concept_chemical_pollutant	Pollutant
concept_televisionstation_wrgb_tv	Wrgb TV
concept_journalist_shepard_smith	Shepard Smith
concept_city_queensland	Queensland
concept_fruit_pudding	Pudding
concept_city_waterloo	Waterloo
concept_chemical_chlorofluorocarbons	Chlorofluorocarbons
concept_personeurope_dan_simmons	Dan Simmons
concept_book_a_winter_haunting	A Winter Haunting
concept_monument_height	Height
concept_book_night_and_day	Night And Day
concept_athlete_troy_murphy	Troy Murphy
concept_island_islamorada	Islamorada
concept_personus_javier_bardem	Javier Bardem
concept_software_windows_vista	Windows Vista
concept_university_attorney	Attorney
concept_company_cingular_wireless_llc	Cingular Wireless Llc
concept_mammal_indoor_pets	Indoor Pets
concept_sportsteam_st_norbert_green_knights	St Norbert Green Knights
concept_book_psalm	Psalm
concept_male_solomon	Solomon
concept_visualizablescene_doctor_phillips	Doctor Phillips
28.4601433333333,-81.4883566666667	28.4601433333333,-81.4883566666667
concept_personaustralia_hugh_white	Hugh White
concept_hobby_meeting	Meeting
concept_personasia_rakesh_roshan	Rakesh Roshan
concept_personafrica_hrithik_roshan	Hrithik Roshan
concept_sportsteam_louisiana_monroe_indians	Louisiana Monroe Indians
concept_book_the_9th_judgment	The 9Th Judgment
concept_visualartist_giotto	Giotto
concept_televisionstation_kupk_tv	Kupk TV
concept_politicalparty_cidi	Cidi
concept_musician_robert_fripp	Robert Fripp
concept_musicartist_king_crimson	King Crimson
concept_ceo_angelo_r__mozilo	Angelo R Mozilo
concept_park_falconwood	Falconwood
51.4592800000000,0.0797700000000	51.4592800000000,0.0797700000000
concept_nerve_internal_organs	Internal Organs
concept_city_wilmington	Wilmington
concept_river_cape_fear_river	Cape Fear River
concept_bank_union	Union
concept_athlete_angel_sanchez	Angel Sanchez
concept_company_actors	Actors
concept_invertebrate_shells	Shells
concept_city_santa	Santa
concept_plant_honeysuckle	Honeysuckle
concept_bakedgood_fruits	Fruits
concept_governmentorganization_u_s__bureau_of_land_management	US Bureau Of Land Management
concept_drug_calcium_carbonate	Calcium Carbonate
concept_musicinstrument_keyboard	Keyboard
concept_journalist_tony_barboza	Tony Barboza
concept_boardgame_steeper	Steeper
53.1333700000000,-117.0856000000000	53.1333700000000,-117.0856000000000
concept_personus_tobey_maguire	Tobey Maguire
concept_movie_seabiscuit	Seabiscuit
concept_visualizablething_distiller	Distiller
concept_drug_avastin	Avastin
concept_agriculturalproduct_cheeses	Cheeses
concept_book_cold_comfort_farm	Cold Comfort Farm
concept_writer_stella_gibbons	Stella Gibbons
concept_bedroomitem_action	Action
concept_university_fudan_university	Fudan University
concept_city_murphy	Murphy
concept_river_hiwassee	Hiwassee
concept_musicgenre_swedish_pop	Swedish Pop
concept_athlete_marcelo_rios	Marcelo Rios
concept_buildingmaterial_jaw	Jaw
concept_personalcareitem_hair	Hair
concept_wallitem_well_a	Well A
33.0241000000000,-108.5821400000000	33.0241000000000,-108.5821400000000
concept_coach_mitch_williams	Mitch Williams
concept_plant_lilies	Lilies
concept_personcanada_tom_gilmore	Tom Gilmore
concept_televisionstation_whiq	Whiq
concept_book_transition	Transition
concept_automobilemodel_civic_coupe	Civic Coupe
concept_hotel_salisbury	Salisbury
concept_automobilemaker_contacts	Contacts
concept_book_heaven_cent	Heaven Cent
concept_book_lord_of_the_rings	Lord Of The Rings
concept_personeurope_j_r_r__tolkien	J R R Tolkien
concept_book_great_gatsby	Great Gatsby
concept_person_fitzgerald	Fitzgerald
concept_journalist_daniel_gross	Daniel Gross
concept_politicsblog_slate	Slate
concept_automobilemodel_maserati_quattroporte	Maserati Quattroporte
concept_city_connellsville	Connellsville
concept_river_youghiogheny	Youghiogheny
concept_sportsequipment_mask	Mask
concept_museum_soil	Soil
concept_chemical_biodiesel	Biodiesel
concept_chemical_krypton	Krypton
concept_personmexico_tamila	Tamila
6.6899000000000,121.5841000000000	6.6899000000000,121.5841000000000
concept_athlete_j_p__losman	J P Losman
concept_person_ray_gravell	Ray Gravell
concept_governmentorganization_u_s__attorney_office	US Attorney Office
concept_bank_china_construction_bank	China Construction Bank
concept_city_waterville	Waterville
concept_personeurope_jack_higgins	Jack Higgins
concept_book_the_judas_gate	The Judas Gate
concept_sportsequipment_fishing_lures	Fishing Lures
concept_restaurant_bed	Bed
concept_insect_scale_insects	Scale Insects
concept_drug_aloxi	Aloxi
concept_biotechcompany_eisai	Eisai
concept_city_gwalior	Gwalior
concept_movie_a_clockwork_orange	A Clockwork Orange
concept_city_potsdam	Potsdam
concept_skiarea_raquette	Raquette
concept_journalist_aaron_brown	Aaron Brown
concept_braintissue_motor_system	Motor System
concept_televisionstation_ktbc	Ktbc
concept_officebuildingroom_honeymoon_suites	Honeymoon Suites
concept_visualartist_degas	Degas
concept_radiostation_wruw	Wruw
concept_automobilemodel_mark_lt	Mark Lt
concept_sportsteam_johns_hopkins_blue_jays	Johns Hopkins Blue Jays
concept_governmentorganization_missouri_department_of_conservation	Missouri Department Of Conservation
concept_coach_cleveland_cavaliers	Cleveland Cavaliers
concept_vegetable_cucumber	Cucumber
concept_personmexico_vissarion	Vissarion
concept_coach_atlanta_hawks	Atlanta Hawks
concept_city_north_bergen	North Bergen
concept_city_east_setauket	East Setauket
concept_academicfield_management	Management
concept_architect_application	Application
concept_city_muzaffarabad	Muzaffarabad
concept_river_jhelum	Jhelum
concept_hotel_millennium_resort_patong_phuket	Millennium Resort Patong Phuket
7.9017300000000,98.3034000000000	7.9017300000000,98.3034000000000
concept_musician_spohr	Spohr
concept_beverage_iced_tea	Iced Tea
concept_personeurope_horace_walpole	Horace Walpole
concept_book_the_castle_of_otranto	The Castle Of Otranto
concept_journalist_tim_cowlishaw	Tim Cowlishaw
concept_room_downstairs_master_suite	Downstairs Master Suite
concept_book_mine	Mine
concept_personmexico_alfonso_soriano	Alfonso Soriano
concept_academicfield_business_finance	Business Finance
concept_creditunion_wbgs	Wbgs
2.2616000000000,111.9853200000000	2.2616000000000,111.9853200000000
concept_river_mae_kok	Mae Kok
19.4214285714286,99.4119057142857	19.4214285714286,99.4119057142857
concept_drug_fentora	Fentora
concept_book_the_listerdale_mystery	The Listerdale Mystery
concept_artery_main_artery	Main Artery
concept_bakedgood_banana_bread	Banana Bread
concept_fish_shad	Shad
concept_fish_white_bass	White Bass
concept_company_roland	Roland
concept_officebuildingroom_green_room	Green Room
concept_city_peekskill	Peekskill
concept_monument_florida_area	Florida Area
concept_university_ned_university_of_engineering	Ned University Of Engineering
24.9331000000000,67.1138000000000	24.9331000000000,67.1138000000000
concept_city_chatham	Chatham
concept_year_n1815	N1815
concept_book_walden_pond	Walden Pond
concept_writer_thoreau	Thoreau
concept_book_twelfth_night	Twelfth Night
concept_personeurope_v_s__naipaul	V S Naipaul
concept_politicaloffice_chairman	Chairman
concept_bank_sbc	Sbc
concept_perceptionaction_cedar_rapids	Cedar Rapids
concept_politicalparty_zanu_pf_party	Zanu Pf Party
concept_drug_carbamazepine	Carbamazepine
concept_personus_service_spam_policy_forgot_password	Service Spam Policy Forgot Password
concept_person_tebow	Tebow
concept_athlete_tim_tebow	Tim Tebow
concept_university_paltz	Paltz
concept_weapon_dagger	Dagger
concept_coach_tom_crean	Tom Crean
concept_aquarium_sea_world_queensland	Sea World Queensland
concept_sportsteam_chapman_university	Chapman University
concept_televisionstation_wviz_tv	Wviz TV
concept_writer_sebastian_junger	Sebastian Junger
concept_book_contagious	Contagious
concept_drug_lidocaine	Lidocaine
concept_personeurope_laura_esquivel	Laura Esquivel
concept_book_like_water_for_chocolate	Like Water For Chocolate
concept_athlete_drew_bledsoe	Drew Bledsoe
concept_profession_first_responders	First Responders
concept_drug_propoxyphene	Propoxyphene
concept_stadiumoreventvenue_johnny_red_floyd_stadium	Johnny Red Floyd Stadium
concept_university_carolina	Carolina
concept_coach_frank_mcguire	Frank Mcguire
concept_sportsteam_miami_university	Miami University
concept_musicalbum_cross	Cross
concept_writer_eliade	Eliade
44.4567300000000,26.1394800000000	44.4567300000000,26.1394800000000
concept_country_ukraine_ukraine	Ukraine Ukraine
concept_governmentorganization_techniques	Techniques
concept_county_free	Free
concept_university_ethical_culture_school	Ethical Culture School
40.7201350000000,-73.9769450000000	40.7201350000000,-73.9769450000000
concept_officebuildingroom_large_master_bathroom	Large Master Bathroom
concept_televisionstation_kcdt_tv	Kcdt TV
concept_city_worthington	Worthington
concept_televisionstation_kcos_tv	Kcos TV
concept_journalist_al_roker	Al Roker
concept_geopoliticallocation_dalton	Dalton
concept_televisionstation_kblr_tv	Kblr TV
concept_architect_jim_john	Jim John
concept_weapon_missiles	Missiles
concept_book_queen_of_sorcery	Queen Of Sorcery
concept_sportsteam_fredonia_state_blue_devils	Fredonia State Blue Devils
concept_personus_elmore_leonard	Elmore Leonard
concept_movie_get_shorty	Get Shorty
concept_drug_clopidogrel	Clopidogrel
concept_beverage_whites	Whites
concept_televisionstation_kbtv_tv	Kbtv TV
concept_bathroomitem_roman_tub	Roman Tub
concept_sportsequipment_supporter	Supporter
concept_journalist_jim_hoagland	Jim Hoagland
concept_athlete_marc_gasol	Marc Gasol
concept_animal_chicks	Chicks
concept_televisionstation_wipr_tv	Wipr TV
concept_sportsteam_hawkeyes	Hawkeyes
concept_automobilemaker_ford_motor_co	Ford Motor Co
concept_bakedgood_scones	Scones
concept_braintissue_brains	Brains
concept_bank_brown_brothers_harriman	Brown Brothers Harriman
concept_weapon_machine_guns	Machine Guns
concept_aquarium_tennessee_aquarium_home_page	Tennessee Aquarium Home Page
concept_politician_reform	Reform
concept_zoo_central	Central
concept_bird_pheasants	Pheasants
concept_country_orleans	Orleans
concept_visualizablething_large_loft_bedroom	Large Loft Bedroom
concept_politicalparty_ruling_zanu_pf	Ruling Zanu Pf
concept_governmentorganization_nps	Nps
concept_televisionshow_understanding	Understanding
concept_building_hull	Hull
concept_book_the_vampire_lestat	The Vampire Lestat
concept_county_austin	Austin
concept_website_campaign	Campaign
concept_journalist_judith_miller	Judith Miller
concept_city_anoka	Anoka
concept_city_lanni	Lanni
concept_governmentorganization_illinois_state_library	Illinois State Library
39.7992200000000,-89.6528800000000	39.7992200000000,-89.6528800000000
concept_lake_dublin	Dublin
concept_company_ricardo	Ricardo
concept_person_cody_herpin	Cody Herpin
concept_celebrity_jodie_sweetin	Jodie Sweetin
concept_city_kozhikode	Kozhikode
concept_bacteria_chlamydia_psittaci	Chlamydia Psittaci
concept_disease_psittacosis	Psittacosis
concept_person_blanche	Blanche
concept_geometricshape_ideal	Ideal
concept_placeofworship_marmoutier	Marmoutier
48.6921100000000,7.3931757142857	48.6921100000000,7.3931757142857
concept_animal_gophers	Gophers
concept_city_the_dalles	The Dalles
concept_visualizablething_mster	Mster
concept_personasia_anthony	Anthony
concept_sportsgame_n1936_world_series	N1936 World Series
concept_weapon_gas_supplies	Gas Supplies
concept_sportsteam_southern_mississippi_golden_eagles	Southern Mississippi Golden Eagles
concept_sportsteam_ucf_knights	Ucf Knights
concept_televisionstation_wvta	Wvta
concept_politicianus_andrew_jackson	Andrew Jackson
concept_university_princeton_university	Princeton University
concept_city_windhoek	Windhoek
concept_wallitem_walt_disney_company	Walt Disney Company
concept_food_pate	Pate
concept_scientificterm_probabilistic_matrix_factorization	Probabilistic Matrix Factorization
concept_person_jennifer001	Jennifer001
concept_sportsteam_northwestern_st_demons	Northwestern St Demons
concept_visualizablething_first_shot	First Shot
46.3579900000000,-112.2700100000000	46.3579900000000,-112.2700100000000
concept_scientist_arthur_holly_compton	Arthur Holly Compton
concept_jobposition_physicist	Physicist
concept_personus_steve_ballmer	Steve Ballmer
concept_sportsteam_rhode_island_anchormen	Rhode Island Anchormen
concept_mountain_ozark_mountains	Ozark Mountains
concept_athlete_tony_dorsett	Tony Dorsett
concept_book_endless_night	Endless Night
concept_musicartist_motorhead	Motorhead
concept_academicfield_technology_education	Technology Education
concept_visualartist_giovanni_bellini	Giovanni Bellini
concept_writer_alexandra_ripley	Alexandra Ripley
concept_book_scarlett	Scarlett
concept_attraction_hampton_court	Hampton Court
concept_politicsissue_opportunity	Opportunity
concept_highway_chapman_highway	Chapman Highway
35.9217500000000,-83.8810100000000	35.9217500000000,-83.8810100000000
concept_currency_page_views	Page Views
concept_governmentorganization_deparment	Deparment
concept_city_sinai	Sinai
concept_athlete_colby_rasmus	Colby Rasmus
concept_food_wine_vinegar	Wine Vinegar
concept_musician_complete_beethoven	Complete Beethoven
concept_sportsteam_jackson_state_tigers	Jackson State Tigers
concept_visualizablething_steamboat_springs	Steamboat Springs
concept_profession_management_systems	Management Systems
concept_city_davidson	Davidson
concept_governmentorganization_opm	Opm
concept_governmentorganization_office_of_personnel_management	Office Of Personnel Management
concept_person_gray	Gray
concept_journalist_matthew_l__wald	Matthew L Wald
concept_river_okeechobee_waterway	Okeechobee Waterway
26.8061700000000,-81.1128500000000	26.8061700000000,-81.1128500000000
concept_city_romulus	Romulus
concept_arachnid_brazilian_whiteknee_tarantula	Brazilian Whiteknee Tarantula
concept_physicalcharacteristic_green_business	Green Business
34.0156000000000,-84.1670000000000	34.0156000000000,-84.1670000000000
concept_museum_greenville	Greenville
concept_journalist_gene_collier	Gene Collier
concept_company_asylum	Asylum
concept_personus_david_geffen	David Geffen
concept_politicianus_frank_h__murkowski	Frank H Murkowski
concept_city_bemidji	Bemidji
concept_mammal_asses	Asses
concept_sportsteam_utah_state_university	Utah State University
concept_academicfield_federal	Federal
concept_director_george_a__romero	George A Romero
concept_movie_night_of_the_living_dead	Night Of The Living Dead
concept_hobby_local_attractions	Local Attractions
concept_city_tahoe_city	Tahoe City
concept_visualizablething_truckee	Truckee
concept_athlete_mcnabb	Mcnabb
concept_geopoliticallocation_longview	Longview
concept_musicsong_monies	Monies
concept_clothing_costume	Costume
concept_stateorprovince_racine	Racine
concept_person_carly_fiorina001	Carly Fiorina001
concept_airport_red_river_army_depot	Red River Army Depot
33.4490000000000,-94.3178200000000	33.4490000000000,-94.3178200000000
concept_musicartist_yes	Yes
concept_ceo_service_site_map	Service Site Map
concept_musician_david_lindley	David Lindley
concept_planet_american_frontier	American Frontier
38.1256900000000,-79.0489200000000	38.1256900000000,-79.0489200000000
concept_visualizableattribute_riaa_gold	Riaa Gold
concept_city_nuremberg	Nuremberg
concept_room_lofted_bedroom	Lofted Bedroom
concept_celebrity_josh_lucas	Josh Lucas
concept_celebrity_rachel_mcadams	Rachel Mcadams
concept_company_american_airlines001	American Airlines001
concept_language_algonkin	Algonkin
39.6637300000000,-75.2426900000000	39.6637300000000,-75.2426900000000
concept_person_rebecca_romijn	Rebecca Romijn
concept_personcanada_jerry_o_connell	Jerry O Connell
concept_city_sault_ste	Sault Ste
concept_televisionstation_wltx_tv	Wltx TV
concept_weapon_samurai_swords	Samurai Swords
concept_sportsteam_massachusetts_maritime_academy_buccaneers	Massachusetts Maritime Academy Buccaneers
concept_biotechcompany_oceanic	Oceanic
concept_city_henderson	Henderson
concept_researchproject_consultant	Consultant
concept_bakedgood_food_cake	Food Cake
concept_agriculturalproduct_extra_virgin_olive_oil	Extra Virgin Olive Oil
concept_athlete_kris_medlen	Kris Medlen
concept_sportsteam_leiden_university	Leiden University
concept_drug_nystatin	Nystatin
concept_profession_curriculum	Curriculum
concept_hotel_miyako_inn	Miyako Inn
concept_automobilemodel_econoline_cargo	Econoline Cargo
concept_book_a_taste_for_death	A Taste For Death
concept_bakedgood_cornbread	Cornbread
concept_stateorprovince_ar	Ar
concept_musician_gospel	Gospel
concept_musicalbum_incorporated	Incorporated
concept_drug_tussionex	Tussionex
concept_profession_business_professionals	Business Professionals
concept_politicsissue_genocide	Genocide
concept_biotechcompany_chrome	Chrome
concept_sportsteam_san_jose_st__spartans	San Jose St Spartans
concept_trail_village_houses	Village Houses
concept_writer_stuart_rose	Stuart Rose
concept_retailstore_marks_and_spencer	Marks And Spencer
concept_politicianus_david_minge	David Minge
concept_athlete_asante_samuel	Asante Samuel
concept_athlete_doc_gooden	Doc Gooden
concept_room_sunroom	Sunroom
concept_city_eu	Eu
concept_disease_e__coli	E Coli
concept_artery_pores	Pores
concept_charactertrait_scenes	Scenes
concept_company_ladbrokes	Ladbrokes
concept_visualizablescene_leeds_bradford	Leeds Bradford
concept_city_leeds	Leeds
concept_city_coffee_point	Coffee Point
concept_automobilemaker_premier	Premier
concept_magazine_system	System
concept_videogamesystem_microsoft_s_windows	Microsoft S Windows
concept_muscle_membrane	Membrane
concept_city_blackwood	Blackwood
concept_televisionstation_knsd	Knsd
concept_personnorthamerica_fidel_castro	Fidel Castro
concept_protein_cats	Cats
concept_geopoliticallocation_codes	Codes
concept_plant_male_flowers	Male Flowers
concept_city_rovaniemi	Rovaniemi
concept_geopoliticallocation_donors	Donors
concept_politicsblog_wgrz	Wgrz
concept_profession_sailors	Sailors
concept_fish_fishes	Fishes
concept_visualizablething_second_level	Second Level
concept_aquarium_ft__worth_zoo_and_aquarium	Ft Worth Zoo And Aquarium
concept_visualizablething_commercial_water	Commercial Water
concept_stateorprovince_west_bengal	West Bengal
concept_hotel_taj_mahal_palace___tower	Taj Mahal Palace Tower
concept_city_perugia	Perugia
concept_restaurant_good_friend	Good Friend
concept_beach_key_colony_beach	Key Colony Beach
concept_athlete_jeff_samardzija	Jeff Samardzija
concept_stadiumoreventvenue_jordan_hare_stadium	Jordan Hare Stadium
concept_athlete_robert_horry	Robert Horry
concept_plant_sycamores	Sycamores
concept_visualartist_games	Games
concept_museum_american_indian	American Indian
concept_visualizablething_caracas	Caracas
concept_buildingfeature_price	Price
concept_bakedgood_flour_tortillas	Flour Tortillas
concept_stadiumoreventvenue_frontier_field	Frontier Field
concept_politicaloffice_billing	Billing
concept_animal_minks	Minks
concept_bakedgood_roll	Roll
concept_drug_duricef	Duricef
concept_book_gold_coast	Gold Coast
concept_academicfield_technical_writing	Technical Writing
concept_fish_black_rat	Black Rat
concept_physicalaction_controller	Controller
concept_profession_neurosurgeons	Neurosurgeons
concept_criminal_innocent_people	Innocent People
concept_beverage_oj	Oj
concept_writer_william_somerset_maugham	William Somerset Maugham
concept_book_the_razor_s_edge	The Razor S Edge
concept_biotechcompany_general_motors_corp	General Motors Corp
concept_coach_matt_guerrier	Matt Guerrier
concept_language_gullah	Gullah
13.4000000000000,26.6166700000000	13.4000000000000,26.6166700000000
concept_physicsterm_weight	Weight
concept_city_port_arthur	Port Arthur
concept_disease_gastric_cancer	Gastric Cancer
concept_stadiumoreventvenue_san_diego_civic_theatre	San Diego Civic Theatre
concept_geometricshape_blue_square	Blue Square
52.3794700000000,4.8206700000000	52.3794700000000,4.8206700000000
concept_sportsteam_wisconsin_parkside_rangers	Wisconsin Parkside Rangers
concept_academicfield_computer_information	Computer Information
concept_nongovorganization_veterans_administration	Veterans Administration
concept_book_the_hours	The Hours
concept_professor_michael_cunningham	Michael Cunningham
concept_sportsteam_uc_irvine_anteaters	Uc Irvine Anteaters
concept_company_adlabs	Adlabs
concept_city_holiday	Holiday
concept_personasia_anthony_grundy	Anthony Grundy
concept_sportsteam_boston_bruins	Boston Bruins
concept_book_black_dogs	Black Dogs
concept_sportsequipment_feet	Feet
concept_product_mountain_dew	Mountain Dew
concept_crimeorcharge_white_collar_crimes	White Collar Crimes
concept_personus_sara_gruen	Sara Gruen
concept_book_water_for_elephants	Water For Elephants
concept_drug_amiodarone	Amiodarone
concept_musicinstrument_broadway	Broadway
concept_governmentorganization_senate	Senate
concept_sportsteam_florida_st__seminoles	Florida St Seminoles
concept_visualizablescene_montsoult	Montsoult
concept_disease_movement_disorders	Movement Disorders
concept_sportsteam_aggies	Aggies
concept_athlete_ricky_stone	Ricky Stone
concept_hospital_campus_health	Campus Health
28.6017766666667,-81.1987533333333	28.6017766666667,-81.1987533333333
concept_museum_metropolitan	Metropolitan
concept_city_bernardino	Bernardino
concept_city_medora	Medora
concept_river_little_missouri	Little Missouri
concept_comedian_don_delillo	Don Delillo
concept_book_the_body_artist	The Body Artist
concept_male_alex_lifeson	Alex Lifeson
concept_city_milltown	Milltown
concept_jobposition_solicitor	Solicitor
concept_musicinstrument_cartridge	Cartridge
concept_journalist_anna_gorman	Anna Gorman
concept_televisionstation_kcge_dt	Kcge Dt
concept_product_car_crash	Car Crash
concept_musicinstrument_return	Return
concept_visualizableobject_bull	Bull
concept_visualizablescene_bull_ring	Bull Ring
concept_visualartist_andy_warhol	Andy Warhol
concept_city_pittsfield	Pittsfield
concept_company_bayer	Bayer
concept_biotechcompany_aventis_cropscience	Aventis Cropscience
concept_athlete_juan_mateo	Juan Mateo
concept_bedroomitem_xp	Xp
concept_radiostation_kola	Kola
concept_city_redlands	Redlands
concept_personus_barbara_kingsolver	Barbara Kingsolver
concept_movie_the_bean_trees	The Bean Trees
concept_person_lee_iacocca	Lee Iacocca
concept_personcanada_mario_vargas_llosa	Mario Vargas Llosa
concept_book_the_war_of_the_end_of_the_world	The War Of The End Of The World
concept_personsouthamerica_lao_she	Lao She
concept_book_richshaw_boy	Richshaw Boy
concept_book_scaramouche	Scaramouche
concept_writer_rafael_sabatini	Rafael Sabatini
concept_city_saint_louis	Saint Louis
concept_beverage_dill	Dill
concept_visualizablething_loft_bedroom	Loft Bedroom
concept_city_maywood	Maywood
concept_profession_special_educators	Special Educators
concept_profession_paraprofessionals	Paraprofessionals
concept_sportsteam_armstrong_atlantic_pirates	Armstrong Atlantic Pirates
concept_website_pdf	Pdf
concept_city_t_bilisi	T Bilisi
concept_sportsteam_duke_blue_devils	Duke Blue Devils
concept_lake_kitsap_peninsula	Kitsap Peninsula
47.5645400000000,-122.6693100000000	47.5645400000000,-122.6693100000000
concept_academicfield_state_government	State Government
concept_buildingfeature_organizations	Organizations
concept_animal_marine_animals	Marine Animals
concept_musician_faure	Faure
concept_city_placentia	Placentia
concept_writer_orhan_pamuk	Orhan Pamuk
concept_book_my_name_is_red	My Name Is Red
concept_sport_dance	Dance
concept_person_heidfeld	Heidfeld
concept_organization_prost	Prost
concept_clothing_brown_suit	Brown Suit
concept_sportsteam_northeastern_state_riverhawks	Northeastern State Riverhawks
concept_city_arkadelphia	Arkadelphia
concept_chemical_systems	Systems
concept_jobposition_scuba_diving_instructor	Scuba Diving Instructor
concept_ceo_jeff_bezos	Jeff Bezos
concept_coach_petrino	Petrino
concept_coach_kevin_youkilis	Kevin Youkilis
concept_sportsteam_nc_central_eagles	Nc Central Eagles
concept_drug_atorvastatin	Atorvastatin
concept_beverage_style	Style
concept_airport_mcghee_tyson_airport	Mcghee Tyson Airport
concept_personcanada_pete_rose	Pete Rose
concept_coach_clint_barmes	Clint Barmes
concept_ceo_stephen_a__schwarzman	Stephen A Schwarzman
concept_county_blackstone	Blackstone
concept_weapon_rifles_software	Rifles Software
concept_writer_jonathan_maberry	Jonathan Maberry
concept_book_the_dragon_factory	The Dragon Factory
concept_city_dobbs_ferry	Dobbs Ferry
concept_person_chris_tisch	Chris Tisch
concept_jobposition_staff_writer	Staff Writer
concept_stadiumoreventvenue_cashman_field	Cashman Field
concept_athlete_howie_clark	Howie Clark
concept_beach_jacksonville	Jacksonville
concept_plant_cypress_trees	Cypress Trees
concept_politicianus_bill_bradley	Bill Bradley
concept_awardtrophytournament_nl_west	Nl West
concept_mountainrange_markagunt_plateau	Markagunt Plateau
37.5538700000000,-112.7132700000000	37.5538700000000,-112.7132700000000
concept_weapon_peace	Peace
concept_publication_walt_disney_concert_hall	Walt Disney Concert Hall
concept_amphibian_salamanders	Salamanders
concept_journalist_george_king	George King
concept_writer_nawal_el_saadawi	Nawal El Saadawi
concept_book_woman_at_point_zero	Woman At Point Zero
concept_writer_miyuki_miyabe	Miyuki Miyabe
concept_book_crossfire	Crossfire
concept_park_hotel_princesa	Hotel Princesa
42.5740000000000,1.4824000000000	42.5740000000000,1.4824000000000
concept_drug_cilostazol	Cilostazol
concept_charactertrait_heart_attack	Heart Attack
concept_bathroomitem_chest	Chest
concept_visualizablething_residency	Residency
concept_city_lawrenceburg	Lawrenceburg
concept_tableitem_skills	Skills
concept_personeurope_vince_flynn	Vince Flynn
concept_book_consent_to_kill_a_thriller	Consent To Kill A Thriller
concept_hotel_empress_angkor	Empress Angkor
